"model_name","Vmax","Km","Std_Error_Km","p_value_Km","Std_Error_Vmax","p_value_Vmax"
"BW0.5m_June_sediment_NH3",182.317439152444,2236.29841834729,564.466987244928,0.00111839377370781,29.5964622743062,1.37096553486798e-05
"BW3m_June_sediment_NH3",228.70479821842,3318.72572803165,1042.15377877591,0.00576249104233321,51.8412156196413,0.00043656432656401
"SS3m_June_sediment_NH3",197.840547256673,1024.82705953283,100.757867483453,2.16792706237065e-08,9.24292633238618,3.35248673163728e-13
"SS3m_June_sediment_NO3",23.6535211997897,103.314039670814,29.2627461555107,0.0030275727901103,1.43510508912354,5.09769517688665e-11
"BW10m_June_sediment_NO3",9.75348081895285,238.250122167209,129.677378044943,0.0910495614027973,1.43554441347938,1.91852776719308e-05
"BW0.5m_June_biofilm_NH3",0.694331664322125,319.926781442812,38.5385315648788,3.42048118778136e-07,0.0248235723030677,5.13192334962614e-15
"BW10m_June_sediment_NH3",141.87022579619,2234.4630448137,283.596357459404,6.75373722317861e-07,11.5622196147152,1.48922748607057e-09
"BW0.5m_June_biofilm_NO3",0.490346461886926,243.391772344516,51.9908635509433,0.000250192840810312,0.0287855657760065,1.11856711821309e-11
"BW3m_May_sediment_NO3",19.0882237991276,305.937803865976,303.401671064888,0.331682995079972,6.36454687449984,0.0102556691887274
"SS3m_May_sediment_NO3",39853.6440219989,1182273.44997761,NA,NA,NA,NA
"BW3m_May_sediment_NH3",44.6542201772624,356.167788582212,139.284170862418,0.0210968129951338,6.79312565116225,6.40818952087388e-06
"SS3m_May_sediment_NH3",48.0541625009637,222.866806493372,48.7810483335964,0.00031545256520562,3.40668340804644,1.91350014341098e-10
"BW0.5m_May_biofilm_NO3",0.554043484148233,400.401600072419,186.012534874175,0.0524039678238552,0.0949715220723525,8.03829044297721e-05
"BW10m_May_sediment_NH3",55.9817151145324,727.63508339339,150.507400975277,0.000182986281612947,5.93278684771907,6.1225420321006e-08
"BW10m_May_sediment_NO3",474.970844210576,40594.5282307757,173508.226390021,0.817980951844267,1980.25423873402,0.813489659443828
"BW0.5m_May_sediment_NH3",163.412278319587,359.847590189312,156.88926353803,0.037803218670677,28.9540712677301,6.05721900264017e-05
"BW0.5m_May_biofilm_NH3",0.503987482881253,230.751672919659,85.4135369547002,0.015720981204794,0.0629254891510588,5.46269888644456e-07
