Site,Location,Depth,Vial_num,Sample_ID,Sample_Date,Inc_month,Composite_num,Weight_mg,Weight_g,Volume_lake_water_L,NO3_spike_µg_L,NH3_spike_µg_L,Analyte,Spike_µg_L,Type,Goal_incubation_hrs,Incubation_start_time,Incubation_end_time,Actual_incubation_hrs,bin,Notes,NO2_NO3_mgNL,NH3_mgNL,Conc_mgNL,Flag,Percent_water,Sample_dryweight_g,
SS_3m,SS,3,40,Sed_NA_40,2023-05-24,May,1,1997,1.997,0.025,100,,NO3,100,sediment,6,8:30,14:38,6:08,,,0.085,,0.085,N,0.195,1.607585,
SS_3m,SS,3,41,Sed_NA_41,2023-05-24,May,2,2104.5,2.1045,0.025,100,,NO3,100,sediment,6,8:30,14:38,6:08,,,0.087,,0.087,N,0.195,1.6941225,
SS_3m,SS,3,42,Sed_NA_42,2023-05-24,May,3,2189.1,2.1891,0.025,100,,NO3,100,sediment,6,8:30,14:38,6:08,,,0.08,,0.08,N,0.195,1.7622255,
SS_3m,SS,3,43,Sed_NA_43,2023-05-24,May,1,2017.9,2.0179,0.025,200,,NO3,200,sediment,6,8:32,14:45,6:13,1,,0.175,,0.175,N,0.195,1.6244095,
SS_3m,SS,3,44,Sed_NA_44,2023-05-24,May,2,2013.8,2.0138,0.025,200,,NO3,200,sediment,6,8:32,14:45,6:13,1,,0.178,,0.178,N,0.195,1.621109,
SS_3m,SS,3,45,Sed_NA_45,2023-05-24,May,3,2185.2,2.1852,0.025,200,,NO3,200,sediment,6,8:32,14:45,6:13,1,,0.179,,0.179,N,0.195,1.759086,
SS_3m,SS,3,46,Sed_NA_46,2023-05-24,May,1,2146.5,2.1465,0.025,500,,NO3,500,sediment,6,8:34,14:50,6:16,1,,0.472,,0.472,N,0.195,1.7279325,
SS_3m,SS,3,47,Sed_NA_47,2023-05-24,May,2,2039.3,2.0393,0.025,500,,NO3,500,sediment,6,8:34,14:50,6:16,1,,0.466,,0.466,N,0.195,1.6416365,
SS_3m,SS,3,48,Sed_NA_48,2023-05-24,May,3,2099.9,2.0999,0.025,500,,NO3,500,sediment,6,8:34,14:50,6:16,1,,0.511,,0.511,N,0.195,1.6904195,
SS_3m,SS,3,49,Sed_NA_49,2023-05-24,May,1,1981.9,1.9819,0.025,800,,NO3,800,sediment,6,8:36,14:54,6:18,2,,0.747,,0.747,N,0.195,1.5954295,
SS_3m,SS,3,50,Sed_NA_50,2023-05-24,May,2,2000.7,2.0007,0.025,800,,NO3,800,sediment,6,8:36,14:54,6:18,2,,0.746,,0.746,N,0.195,1.6105635,
SS_3m,SS,3,51,Sed_NA_51,2023-05-24,May,3,2101.8,2.1018,0.025,800,,NO3,800,sediment,6,8:37,14:54,6:17,2,,0.735,,0.735,N,0.195,1.691949,
SS_3m,SS,3,52,Sed_NA_52,2023-05-24,May,1,1983.3,1.9833,0.025,1200,,NO3,1200,sediment,6,8:39,14:59,6:20,1,,0.716,,0.716,Y,0.195,1.5965565,
SS_3m,SS,3,53,Sed_NA_53,2023-05-24,May,2,2046.6,2.0466,0.025,1200,,NO3,1200,sediment,6,8:39,14:59,6:20,1,,1.127,,1.127,N,0.195,1.647513,
SS_3m,SS,3,54,Sed_NA_54,2023-05-24,May,3,2152.1,2.1521,0.025,1200,,NO3,1200,sediment,6,8:39,14:59,6:20,1,,0.988,,0.988,N,0.195,1.7324405,
BW_10m,BW,10,55,Sed_NA_55,2023-05-24,May,1,2041.6,2.0416,0.025,0,,NO3,0,sediment,6,8:28,,6,,,0.009,,0.009,N,0.394,1.2372096,
BW_10m,BW,10,56,Sed_NA_56,2023-05-24,May,2,2063.3,2.0633,0.025,0,,NO3,0,sediment,6,8:28,,6,,,0.017,,0.017,N,0.394,1.2503598,
BW_10m,BW,10,57,Sed_NA_57,2023-05-24,May,3,2042.4,2.0424,0.025,0,,NO3,0,sediment,6,8:28,,6,,,0.024,,0.024,N,0.394,1.2376944,
BW_10m,BW,10,58,Sed_NA_58,2023-05-24,May,1,2196.7,2.1967,0.025,100,,NO3,100,sediment,6,8:31,14:42,6:11,1,,0.105,,0.105,N,0.394,1.3312002,
BW_10m,BW,10,59,Sed_NA_59,2023-05-24,May,2,2009,2.009,0.025,100,,NO3,100,sediment,6,8:31,14:42,6:11,1,,0.069,,0.069,N,0.394,1.217454,
BW_10m,BW,10,60,Sed_NA_60,2023-05-24,May,3,2084.1,2.0841,0.025,100,,NO3,100,sediment,6,8:31,14:42,6:11,1,,0.07,,0.07,N,0.394,1.2629646,
BW_10m,BW,10,61,Sed_NA_61,2023-05-24,May,1,2004.8,2.0048,0.025,200,,NO3,200,sediment,6,8:33,14:49,6:16,1,,0.148,,0.148,N,0.394,1.2149088,
BW_10m,BW,10,62,Sed_NA_62,2023-05-24,May,2,2062.3,2.0623,0.025,200,,NO3,200,sediment,6,8:33,14:49,6:16,1,,0.128,,0.128,N,0.394,1.2497538,
BW_10m,BW,10,63,Sed_NA_63,2023-05-24,May,3,2007.3,2.0073,0.025,200,,NO3,200,sediment,6,8:33,14:49,6:16,1,,0.13,,0.13,N,0.394,1.2164238,
BW_10m,BW,10,64,Sed_NA_64,2023-05-24,May,1,2045.1,2.0451,0.025,500,,NO3,500,sediment,6,8:35,14:53,6:18,1,,0.374,,0.374,N,0.394,1.2393306,
BW_10m,BW,10,65,Sed_NA_65,2023-05-24,May,2,2031.8,2.0318,0.025,500,,NO3,500,sediment,6,8:35,14:53,6:18,1,,0.381,,0.381,N,0.394,1.2312708,
BW_10m,BW,10,66,Sed_NA_66,2023-05-24,May,3,2049.2,2.0492,0.025,500,,NO3,500,sediment,6,8:35,14:53,6:18,1,,0.366,,0.366,N,0.394,1.2418152,
BW_10m,BW,10,67,Sed_NA_67,2023-05-24,May,1,2080,2.08,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.67,,0.67,N,0.394,1.26048,
BW_10m,BW,10,68,Sed_NA_68,2023-05-24,May,2,2025.3,2.0253,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.589,,0.589,N,0.394,1.2273318,
BW_10m,BW,10,69,Sed_NA_69,2023-05-24,May,3,2034.9,2.0349,0.025,800,,NO3,800,sediment,6,8:37,14:56,6:19,2,,0.684,,0.684,N,0.394,1.2331494,
BW_10m,BW,10,70,Sed_NA_70,2023-05-24,May,1,2024.4,2.0244,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,1.006,,1.006,N,0.394,1.2267864,
BW_10m,BW,10,71,Sed_NA_71,2023-05-24,May,2,2057.6,2.0576,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,0.902,,0.902,N,0.394,1.2469056,
BW_10m,BW,10,72,Sed_NA_72,2023-05-24,May,3,2050.5,2.0505,0.025,1200,,NO3,1200,sediment,6,8:39,15:01,6:22,2,,0.993,,0.993,N,0.394,1.242603,
GB0.5m,GB,0.5,73,Sed_NA_73,2023-05-25,May,1,2125.4,2.1254,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.03,,0.03,N,0.238,1.618532512,used June data since it was missing
GB0.5m,GB,0.5,74,Sed_NA_74,2023-05-25,May,2,2122.8,2.1228,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.027,,0.027,N,0.238,1.616552563,
GB0.5m,GB,0.5,75,Sed_NA_75,2023-05-25,May,3,2087,2.087,0.025,0,,NO3,0,sediment,6,8:43,15:00,6:17,2,,0.025,,0.025,N,0.238,1.589290182,
GB0.5m,GB,0.5,76,Sed_NA_76,2023-05-25,May,1,1945.2,1.9452,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.128,,0.128,N,0.238,1.481306786,
GB0.5m,GB,0.5,77,Sed_NA_77,2023-05-25,May,2,2024.6,2.0246,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.124,,0.124,N,0.238,1.541771395,
GB0.5m,GB,0.5,78,Sed_NA_78,2023-05-25,May,3,2137.1,2.1371,0.025,100,,NO3,100,sediment,6,8:46,15:07,6:21,2,,0.131,,0.131,N,0.238,1.627442284,
GB0.5m,GB,0.5,79,Sed_NA_79,2023-05-25,May,1,2104.3,2.1043,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.221,,0.221,N,0.238,1.602464461,
GB0.5m,GB,0.5,80,Sed_NA_80,2023-05-25,May,2,2120.6,2.1206,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.23,,0.23,N,0.238,1.614877221,
GB0.5m,GB,0.5,81,Sed_NA_81,2023-05-25,May,3,2045.5,2.0455,0.025,200,,NO3,200,sediment,6,8:48,15:11,6:23,3,,0.229,,0.229,N,0.238,1.557687143,
GB0.5m,GB,0.5,82,Sed_NA_82,2023-05-25,May,1,2052.3,2.0523,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.519,,0.519,N,0.238,1.562865472,
GB0.5m,GB,0.5,83,Sed_NA_83,2023-05-25,May,2,2113.1,2.1131,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.546,,0.546,N,0.238,1.609165828,
GB0.5m,GB,0.5,84,Sed_NA_84,2023-05-25,May,3,2161.4,2.1614,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.55,,0.55,N,0.238,1.645947196,
GB0.5m,GB,0.5,85,Sed_NA_85,2023-05-25,May,1,2029.1,2.0291,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.8,,0.8,N,0.238,1.545198231,
GB0.5m,GB,0.5,86,Sed_NA_86,2023-05-25,May,2,2027.6,2.0276,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.826,,0.826,N,0.238,1.544055952,
GB0.5m,GB,0.5,87,Sed_NA_87,2023-05-25,May,3,2180.7,2.1807,0.025,800,,NO3,800,sediment,6,8:51,15:19,6:28,3,,0.818,,0.818,N,0.238,1.660644513,
GB0.5m,GB,0.5,88,Sed_NA_88,2023-05-25,May,1,1984.4,1.9844,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.224,,1.224,N,0.238,1.511158331,
GB0.5m,GB,0.5,89,Sed_NA_89,2023-05-25,May,2,2180.3,2.1803,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.237,,1.237,N,0.238,1.660339906,
GB0.5m,GB,0.5,90,Sed_NA_90,2023-05-25,May,3,2066.2,2.0662,0.025,1200,,NO3,1200,sediment,6,8:53,15:22,6:29,3,,1.201,,1.201,N,0.238,1.573450586,
GB_3m,GB,3,91,Sed_NA_91,2023-05-25,May,1,2158.8,2.1588,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.024,,0.024,N,0.250,1.6191,
GB_3m,GB,3,92,Sed_NA_92,2023-05-25,May,2,2096.9,2.0969,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.019,,0.019,N,0.250,1.572675,
GB_3m,GB,3,93,Sed_NA_93,2023-05-25,May,3,2077.9,2.0779,0.025,0,,NO3,0,sediment,6,8:43,15:02,6:19,2,,0.017,,0.017,N,0.250,1.558425,
GB_3m,GB,3,94,Sed_NA_94,2023-05-25,May,1,2005,2.005,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.078,,0.078,N,0.250,1.50375,
GB_3m,GB,3,95,Sed_NA_95,2023-05-25,May,2,2166.5,2.1665,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.071,,0.071,N,0.250,1.624875,
GB_3m,GB,3,96,Sed_NA_96,2023-05-25,May,3,1949.3,1.9493,0.025,100,,NO3,100,sediment,6,8:45,15:06,6:21,2,,0.079,,0.079,N,0.250,1.461975,
GB_3m,GB,3,97,Sed_NA_97,2023-05-25,May,1,1990.1,1.9901,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.187,,0.187,N,0.250,1.492575,
GB_3m,GB,3,98,Sed_NA_98,2023-05-25,May,2,2055.3,2.0553,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.178,,0.178,N,0.250,1.541475,
GB_3m,GB,3,99,Sed_NA_99,2023-05-25,May,3,2129.7,2.1297,0.025,200,,NO3,200,sediment,6,8:47,15:11,6:24,3,,0.174,,0.174,N,0.250,1.597275,
GB_3m,GB,3,100,Sed_NA_100,2023-05-25,May,1,1972.3,1.9723,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.441,,0.441,N,0.250,1.479225,
GB_3m,GB,3,101,Sed_NA_101,2023-05-25,May,2,2118.5,2.1185,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.429,,0.429,N,0.250,1.588875,
GB_3m,GB,3,102,Sed_NA_102,2023-05-25,May,3,2110.5,2.1105,0.025,500,,NO3,500,sediment,6,8:49,15:14,6:25,3,,0.452,,0.452,N,0.250,1.582875,
GB_3m,GB,3,103,Sed_NA_103,2023-05-25,May,1,2195.3,2.1953,0.025,800,,NO3,800,sediment,6,8:50,15:18,6:28,3,,0.725,,0.725,N,0.250,1.646475,
GB_3m,GB,3,104,Sed_NA_104,2023-05-25,May,2,2055.4,2.0554,0.025,800,,NO3,800,sediment,6,8:51,15:18,6:27,3,,0.756,,0.756,N,0.250,1.54155,
GB_3m,GB,3,105,Sed_NA_105,2023-05-25,May,3,2146.8,2.1468,0.025,800,,NO3,800,sediment,6,8:51,15:18,6:27,3,,0.586,,0.586,N,0.250,1.6101,
